index,Open,Close,High,Low,ATR,EMA_fast,EMA_slow,RSI,BBL_15_1.5,BBM_15_1.5,BBU_15_1.5,BBB_15_1.5,BBP_15_1.5,EMASignal,TotalSignal
49,183.92,185.14,185.15,182.73,3.8036395779144323,185.78084394087273,182.88219999999998,42.63505321885981,183.07195260597285,189.2846666666667,195.49738072736056,6.56441345207802,0.16643671138119034,0,0
50,182.085,185.56,185.6,181.5,3.845976781069513,185.7665959446874,183.01999999999995,44.19580976442583,182.76442153221848,189.11933333333337,195.47424513444827,6.720531094421752,0.21995415162890797,0,0
51,181.99,181.18,182.76,180.17,4.066551526631013,185.47068652890113,183.12199999999996,33.60229973564085,181.50915600292413,188.41600000000003,195.32284399707592,7.331483522711336,-0.023828249419233668,0,0
52,182.15,181.91,183.0872,180.88,3.80092987996944,185.24096481735913,183.2858,36.42429457016016,180.60588215901947,187.71533333333335,194.82478450764722,7.5747154460625215,0.09171719511150472,0,0
53,184.22,184.25,185.88,183.43,3.82508275425952,185.17703160333596,183.51839999999996,44.78279024112653,180.33744552616787,187.054,193.77055447383214,7.18140694540842,0.2912620219991919,0,0
54,187.15,185.64,188.44,183.885,3.929356646508161,185.20690053215299,183.77119999999996,49.191670310999335,180.43750724888713,186.4633333333333,192.4891594177795,6.463282594733028,0.4316829492093619,0,0
55,193.9,192.53,194.4,191.725,4.619448554149855,185.67935856233666,184.1992,64.71055655246798,180.77631459080652,186.2866666666667,191.79701874252686,5.915991921977062,1.0665094759266107,0,0
56,194.14,193.58,194.66,193.17,4.263813046414161,186.18907736476655,184.6062,66.44595073538194,180.81895272648111,186.26600000000002,191.71304727351892,5.84867584370621,1.1713729138681588,2,0
57,192.49,193.15,193.5,191.09,4.010411182640711,186.63816914768483,185.0142,64.99167189726693,180.6667834396965,186.372,192.07721656030353,6.1223966693532414,1.0940177667540991,2,0
58,193.61,193.05,193.89,192.83,3.588923870834891,187.0518356542858,185.46059999999997,64.62618089357935,180.47968840583997,186.66666666666669,192.8536449274934,6.628905279457199,1.0158684146144363,2,0
59,195.18,193.6,195.41,192.97,3.4247918892870493,187.47429787013834,185.9526,65.80147494537952,180.9206512202879,187.3946666666667,193.86868211304548,6.9094980786135345,0.9792491912267701,2,0
60,196.1,194.68,197.08,193.5,3.446964476531758,187.9391818785165,186.46379999999996,68.11299107098301,181.31023694052573,188.13133333333334,194.95242972614096,7.251419816094025,0.9800303565253663,2,0
61,196.9,194.83,197.68,194.83,3.383112408455793,188.38375078957995,186.95799999999997,68.4421622363383,181.53292094248826,188.72533333333334,195.91774572417842,7.622095310481276,0.9243824140588107,2,0
62,196.16,196.94,196.95,195.89,3.2026677786763904,188.93576686767156,187.39479999999995,72.8264849108732,181.79498913751416,189.482,197.16901086248583,8.113710919755793,0.9851040367587188,2,0
63,196.09,195.89,196.63,194.39,3.1094295245797645,189.38442706975727,187.71939999999995,67.63122967624516,182.2114060293007,190.12866666666665,198.0459273040326,8.328318686678099,0.863846385588369,2,0
64,197.53,197.57,198.3999,197.0,3.0237824496398003,189.91252854912776,188.05579999999995,71.27428570064589,182.85110338347548,190.95733333333334,199.0635632831912,8.490095466203126,0.9078755912162721,2,0
