Open,Close,High,Low,ATR,EMA_fast,EMA_slow,RSI
173.8,177.49,177.99,173.18,3.6762360601083373,177.77356940368068,174.97650000000004,48.92734731485173
173.79,174.91,175.45,172.68,3.838202337235718,177.2529204211933,174.8435,40.46681930341098
171.09,173.66,174.21,170.97,3.852744860487758,176.59966216279452,174.82800000000003,37.020642558972916
172.255,172.4,173.63,170.82,3.708067023275222,175.8360872241046,174.90950000000004,33.79708286794738
171.22,173.75,174.3,170.93,3.6597717342359055,175.45679863790377,175.08250000000004,40.015132469612766
172.02,171.21,173.07,170.341,3.623947200773632,174.68465343101218,175.23200000000003,33.44763505606896
169.34,170.69,172.03,167.62,3.73624045780597,173.95835280719177,175.42200000000005,32.24384809341744
172.62,170.43,173.04,169.05,3.7724918209765432,173.31683411497508,175.38850000000005,31.61178456972028
174.82,171.96,175.2,171.66,3.914992989408463,173.07013700316142,175.31450000000004,39.38133361572144
174.2,176.08,176.97,174.15,4.07142256235011,173.61738482076845,175.46850000000003,54.75951738628137
174.67,174.79,177.079,174.05,3.9225050534429506,173.83058758062873,175.56400000000002,50.31855763299213
174.55,173.93,176.3,173.86,3.7107186172368145,173.84866256596897,175.4875,47.46704281299138
179.26,175.49,179.695,175.4,4.0041873862029815,174.14708755397461,175.47000000000003,52.85213473312894
177.52,179.07,179.63,177.13,4.023589188173982,175.04216254416104,175.56600000000003,62.62208339423013
176.48,177.97,179.38,176.17,3.907362161291985,175.57449662704084,175.52850000000004,58.48457635869886
176.48,175.01,176.495,173.82,3.942024709678845,175.47186087666978,175.33650000000003,48.837027772827845
174.0,175.74,176.1,173.58,3.7388783225818645,175.520613444548,175.08800000000002,51.049712374884216
176.51,174.21,177.3,173.98,3.6790385622130297,175.2823200909938,174.8085,46.378725776308436
179.49,176.3,180.13,174.82,3.9991759104683093,175.4673528017222,174.704,52.91737891470048
180.07,179.36,180.3,177.34,3.999293637544265,176.17510683777272,174.72250000000003,60.71123193986452
178.35,178.18,180.239,177.79,3.777823117895086,176.53963286726858,174.757,56.69037189187104
175.18,177.56,178.21,173.54,3.9052769581957905,176.72515416412884,174.8895,54.58003919656613
188.4,182.91,188.85,181.47,4.960237392739248,177.84967158883268,175.352,66.5269676294496
188.28,189.7,189.98,187.61,5.261632050919354,180.00427675449947,176.21699999999998,75.58356778014799
189.485,189.46,189.92,188.28,4.744256043645159,181.7234991627723,177.0025,74.7888626378604
